Gene	baseMean	log2FoldChange	lfcSE	pvalue	padj	diffexpressed
FCRL5	333.148427963293	-1.10701619955501	0.295459457309946	1.8690787588099e-06	0.00238048746227812	Down-regulated in IgA
DNAJC5	65.0780180365495	1.04280897865109	0.325031968040537	3.90155419234429e-05	0.0215326775875482	Up-regulated in IgA
GUCY1A1	271.816352816551	1.80431364709953	0.568259806377097	6.89638596111576e-05	0.0317176284328316	Up-regulated in IgA
PLN	69.9701132094717	1.94538949338652	0.404120316152647	5.38929223136862e-08	0.000210835618358452	Up-regulated in IgA
MUC3A	42.8438261909867	1.98637824259544	0.648196129237133	4.85973015076759e-05	0.0253237447059092	Up-regulated in IgA
ACTG2	130.804571964695	3.35229816430201	0.724471852535409	4.19687051564124e-08	0.000210835618358452	Up-regulated in IgA
