"gene"	"p_val"	"avg_log2FC"	"pct.1"	"pct.2"	"p_val_adj"	"cluster"
"AIM2.1"	"AIM2"	1.93428859503431e-77	-0.704080632133815	0.058	0.241	5.47326300850909e-73	"5"
"RP11-231C14.7.1"	"RP11-231C14.7"	7.7423512527591e-77	0.653136160234225	0.236	0.102	2.19077571048071e-72	"5"
"S100A4.2"	"S100A4"	1.87129637545695e-76	-0.844877996537581	0.27	0.477	5.29502022399299e-72	"5"
"GAPDH.2"	"GAPDH"	2.31532063375372e-73	-0.557150545932116	0.647	0.783	6.55143126526952e-69	"5"
"CD79A.1"	"CD79A"	4.50813117096186e-73	0.457883997930303	0.887	0.8	1.27562079613537e-68	"5"
"COTL1.2"	"COTL1"	8.0168503884033e-73	-0.626182441927333	0.374	0.585	2.2684479859026e-68	"5"
"C16orf74"	"C16orf74"	1.10502615385837e-71	0.511921310929015	0.137	0.045	3.12678200495764e-67	"5"
"CD79B.2"	"CD79B"	1.47800398553169e-71	0.621099065327364	0.697	0.564	4.18216007746048e-67	"5"
"HLA-DRA.2"	"HLA-DRA"	7.26299771684017e-71	0.26194018663135	0.998	0.99	2.0551378339571e-66	"5"
"LGALS1.1"	"LGALS1"	5.54616854556144e-65	-0.791999112484698	0.138	0.324	1.56934385165207e-60	"5"
"PHACTR1.2"	"PHACTR1"	1.54093001516542e-63	0.68537361839918	0.296	0.156	4.36021557091208e-59	"5"
"CD69.5"	"CD69"	1.98933645862364e-63	0.567931901253869	0.842	0.734	5.62902644332144e-59	"5"
"BTLA"	"BTLA"	5.88211486704084e-63	0.533668008083311	0.16	0.062	1.66440322277788e-58	"5"
"SSPN.1"	"SSPN"	8.44822671188482e-63	-0.703807161416631	0.021	0.156	2.39051023039493e-58	"5"
"HLA-DRB1.2"	"HLA-DRB1"	3.76228489164879e-61	0.376537616835049	0.943	0.907	1.06457613294094e-56	"5"
"CD52.1"	"CD52"	6.86703380273062e-61	0.318345990176901	0.953	0.927	1.94309588482066e-56	"5"
"LINC00926.1"	"LINC00926"	4.72330037800565e-60	0.666789178571233	0.423	0.278	1.33650507496048e-55	"5"
"NEAT1.1"	"NEAT1"	1.41225637108554e-56	-0.635112501961135	0.355	0.536	3.99612062762364e-52	"5"
"PLP2.1"	"PLP2"	5.26917003702916e-56	-0.596518297440106	0.178	0.359	1.49096435367777e-51	"5"
"TMEM123"	"TMEM123"	5.8446878145804e-56	0.568817218500609	0.31	0.18	1.65381286401367e-51	"5"
"SCIMP.1"	"SCIMP"	9.81883665171208e-56	-0.635270713861771	0.065	0.211	2.77833801896845e-51	"5"
"MARCKS"	"MARCKS"	2.50025693154352e-54	-0.623353732584671	0.089	0.241	7.07472701349553e-50	"5"
"FOXP1.2"	"FOXP1"	2.13101824879649e-53	0.569452561012998	0.354	0.218	6.02992923679454e-49	"5"
"SMIM14"	"SMIM14"	2.50151217388004e-52	-0.560133574570961	0.434	0.595	7.07827884721097e-48	"5"
"RPLP0"	"RPLP0"	3.94332050520558e-52	0.297262160412275	0.938	0.924	1.11580197015297e-47	"5"
"SMARCB1.1"	"SMARCB1"	6.61203114926364e-52	-0.558425969312259	0.161	0.328	1.87094033399564e-47	"5"
"TEX9.1"	"TEX9"	1.9989891956283e-51	-0.54136519362144	0.01	0.118	5.65633982794984e-47	"5"
"MCL1.2"	"MCL1"	2.19742258642703e-51	-0.652708568110103	0.212	0.381	6.21782695055393e-47	"5"
"SEC62"	"SEC62"	2.70080097655848e-51	0.572835097863512	0.505	0.379	7.64218644326989e-47	"5"
"HVCN1.1"	"HVCN1"	6.22497086146159e-51	0.541775078351937	0.305	0.178	1.76141775495917e-46	"5"
"GPR183.1"	"GPR183"	7.06547565711129e-51	-0.550475700555076	0.472	0.63	1.99924699193621e-46	"5"
"RPS17"	"RPS17"	1.27671313012098e-50	0.256629900579695	0.985	0.968	3.61258747299033e-46	"5"
"CD22.1"	"CD22"	1.84526378770648e-49	0.530710801956646	0.37	0.239	5.22135841369426e-45	"5"
"SRGN.4"	"SRGN"	4.7071448137645e-49	-0.586952040771461	0.48	0.622	1.3319336965028e-44	"5"
"CTSH.1"	"CTSH"	1.58725597950708e-48	-0.568960408689034	0.255	0.428	4.49129951961323e-44	"5"
"GABPB1-AS1"	"GABPB1-AS1"	2.25455471533054e-48	0.560069423728973	0.449	0.318	6.37948802249931e-44	"5"
"CD99.3"	"CD99"	7.67702122688171e-48	-0.576916424876658	0.211	0.375	2.17228992635845e-43	"5"
"HLA-DPA1.3"	"HLA-DPA1"	1.62055090960954e-47	0.263728854902591	0.967	0.932	4.58551085383116e-43	"5"
"FOS.3"	"FOS"	1.84688884254157e-47	0.636116776124366	0.622	0.505	5.22595666885562e-43	"5"
"CHI3L2"	"CHI3L2"	3.71046613845531e-47	0.528080934305928	0.171	0.079	1.04991349853732e-42	"5"
"HLA-DQB1.2"	"HLA-DQB1"	7.95114365799734e-47	0.317467294214407	0.914	0.848	2.24985560946693e-42	"5"
"CD37"	"CD37"	6.78563356786252e-46	0.319983482772396	0.904	0.849	1.92006287436238e-41	"5"
"LAPTM5.2"	"LAPTM5"	2.46589989460677e-45	0.355938285762973	0.868	0.813	6.97751034177931e-41	"5"
"KLF6.1"	"KLF6"	3.52480938870264e-45	-0.562036785486183	0.605	0.724	9.97380064627299e-41	"5"
"RHOH.3"	"RHOH"	5.90681535741718e-45	0.517209915849388	0.51	0.388	1.67139247353476e-40	"5"
"HSPA8"	"HSPA8"	9.17793593073312e-45	-0.464165842463549	0.411	0.574	2.59698875096024e-40	"5"
"VPS37B.2"	"VPS37B"	3.27376367210058e-44	0.553304349090966	0.304	0.187	9.26344168657579e-40	"5"
"THEMIS2.1"	"THEMIS2"	4.05267458117476e-44	-0.482410655389889	0.078	0.209	1.14674479948921e-39	"5"
"ABRACL"	"ABRACL"	6.13766850196672e-44	0.478848773386879	0.21	0.111	1.7367146793165e-39	"5"
"S100A6"	"S100A6"	4.7741486881682e-43	-0.516157700844173	0.374	0.539	1.35089311280407e-38	"5"
"CRIP1.2"	"CRIP1"	8.89028171285894e-43	-0.539604851474607	0.052	0.167	2.51559411347057e-38	"5"
"ISG20.1"	"ISG20"	2.85654109711279e-42	0.42315181255868	0.566	0.441	8.08286868839036e-38	"5"
"CCDC50.2"	"CCDC50"	2.27023582962383e-41	-0.517855888784782	0.148	0.291	6.4238593035036e-37	"5"
"ZCCHC7"	"ZCCHC7"	2.29780877730934e-41	0.510503969520903	0.232	0.13	6.50187971627452e-37	"5"
"TOMM7"	"TOMM7"	4.71874525115375e-41	-0.33849466196973	0.773	0.837	1.33521615626646e-36	"5"
"ATP6V0A1"	"ATP6V0A1"	2.07051648595801e-40	0.340491058824012	0.103	0.039	5.85873344866677e-36	"5"
"ARID5B.1"	"ARID5B"	2.22117076085233e-40	-0.528446620133513	0.239	0.394	6.28502478490776e-36	"5"
"VOPP1.1"	"VOPP1"	6.2719930204861e-40	-0.456185181115315	0.104	0.235	1.77472314507675e-35	"5"
"CAPG.1"	"CAPG"	1.00158806179531e-39	-0.53609567403128	0.193	0.34	2.83409357965602e-35	"5"
"SARAF.2"	"SARAF"	2.81572432157452e-39	0.431019734444788	0.63	0.527	7.96737354032726e-35	"5"
"H3F3A.1"	"H3F3A"	9.54344874337876e-39	0.316492908486796	0.857	0.813	2.70041425642645e-34	"5"
"CD82.1"	"CD82"	1.20092628051569e-38	-0.456880076042183	0.134	0.271	3.39814100334719e-34	"5"
"TRAC.3"	"TRAC"	5.14533487553704e-38	-0.54807312792133	0.092	0.213	1.45592395638196e-33	"5"
"CTSA.1"	"CTSA"	7.26000481798704e-38	-0.473711925397217	0.045	0.148	2.05429096329761e-33	"5"
"KLF2.2"	"KLF2"	3.0092832616305e-37	0.492876471201978	0.519	0.402	8.51506791710967e-33	"5"
"FAM26F.1"	"FAM26F"	5.41992567535892e-37	0.483331452340797	0.197	0.108	1.53362216909956e-32	"5"
"NR4A2.3"	"NR4A2"	1.69374999812416e-36	-0.596845932257729	0.312	0.45	4.79263499469212e-32	"5"
"NCF1"	"NCF1"	7.61615421908761e-36	0.483678953065426	0.473	0.367	2.15506699783303e-31	"5"
"HLA-DMA.1"	"HLA-DMA"	1.23702975510054e-35	0.369244974972584	0.661	0.566	3.50029939503248e-31	"5"
"TXNIP.1"	"TXNIP"	1.81095324531929e-35	0.325593104818314	0.908	0.844	5.12427330295547e-31	"5"
"HLA-DMB.2"	"HLA-DMB"	4.31064576060119e-35	0.435137252350095	0.526	0.422	1.21974032441971e-30	"5"
"FAM129C"	"FAM129C"	5.39849267617221e-35	0.36572383832383	0.154	0.076	1.52755748764969e-30	"5"
"CTD-3252C9.4"	"CTD-3252C9.4"	8.24024911484074e-35	-0.555165268674552	0.093	0.208	2.33166088953534e-30	"5"
"RGS2.4"	"RGS2"	9.96784441992915e-35	-0.568759951633615	0.239	0.379	2.82050125706315e-30	"5"
"CFLAR"	"CFLAR"	7.65195873117533e-34	-0.446888024434279	0.165	0.296	2.16519824257337e-29	"5"
"AHNAK"	"AHNAK"	1.03244918810396e-33	-0.460668567237777	0.073	0.179	2.92141822265896e-29	"5"
"STK17A"	"STK17A"	3.53879686550246e-33	0.439975268259206	0.592	0.513	1.00133796106258e-28	"5"
"TMEM2.2"	"TMEM2"	3.70946500360528e-33	0.566192075355076	0.277	0.182	1.04963021742015e-28	"5"
"RCSD1"	"RCSD1"	4.59378462348779e-33	0.48872133859461	0.438	0.338	1.29985729706211e-28	"5"
"IGHG1.1"	"IGHG1"	2.20476476058111e-32	-0.594711378886361	0.202	0.331	6.23860236654029e-28	"5"
"DUSP4.3"	"DUSP4"	6.27595403712674e-32	-0.592112099141151	0.032	0.117	1.77584395434538e-27	"5"
"HCST.2"	"HCST"	1.2546003744594e-31	-0.452727057674591	0.1	0.21	3.55001721957032e-27	"5"
"SORL1"	"SORL1"	1.55443184475321e-31	0.353819096696873	0.111	0.05	4.39842034791368e-27	"5"
"DUSP2.4"	"DUSP2"	3.69743474888921e-31	-0.742409841420465	0.196	0.317	1.04622613654569e-26	"5"
"FNBP1"	"FNBP1"	7.63412557964656e-31	-0.435423576948545	0.259	0.394	2.16015217401679e-26	"5"
"EVI2B"	"EVI2B"	8.31232530226347e-31	-0.391546206918331	0.382	0.523	2.35205556752847e-26	"5"
"DAAM1"	"DAAM1"	3.31141793865198e-30	-0.432698204497357	0.038	0.122	9.36998819920965e-26	"5"
"LDHB"	"LDHB"	3.97950591737126e-30	-0.377726553019674	0.299	0.437	1.12604099437937e-25	"5"
"CXCR4.3"	"CXCR4"	4.62330917791947e-30	0.252756110225413	0.971	0.94	1.30821156498409e-25	"5"
"PIK3IP1"	"PIK3IP1"	6.21698880431782e-30	0.462728394924162	0.36	0.265	1.75915915206977e-25	"5"
"SELM"	"SELM"	4.3489085638647e-29	-0.369927384504991	0.084	0.186	1.23056716723115e-24	"5"
"SIAH2"	"SIAH2"	5.13650844579509e-29	0.387474872493436	0.143	0.074	1.45342642982218e-24	"5"
"ACTG1.4"	"ACTG1"	5.74067497298501e-29	-0.361514729274648	0.772	0.839	1.62438139035584e-24	"5"
"PTPN1.1"	"PTPN1"	7.92893723678941e-29	-0.416757464360517	0.15	0.265	2.24357208052193e-24	"5"
"PKM.1"	"PKM"	1.81222414955901e-28	-0.362523024048162	0.193	0.32	5.12786945359218e-24	"5"
"SNX29"	"SNX29"	2.36080418764161e-28	0.380115361153661	0.154	0.083	6.6801315293507e-24	"5"
"S100A10.3"	"S100A10"	3.35076367451149e-28	-0.481332495074734	0.208	0.329	9.48132089339771e-24	"5"
"BHLHE41"	"BHLHE41"	5.22571398042188e-28	-0.33999924178572	0.027	0.103	1.47866802790017e-23	"5"
"MIDN.1"	"MIDN"	5.34517437030162e-28	-0.429759129130231	0.106	0.209	1.51247053982055e-23	"5"
"CDCA7L"	"CDCA7L"	5.45054500331577e-28	0.378765540161185	0.132	0.068	1.54228621413823e-23	"5"
"SC5D.1"	"SC5D"	5.96856542077077e-28	0.436161172883945	0.193	0.115	1.6888652714613e-23	"5"
"RGS1.4"	"RGS1"	1.53270985418621e-27	-0.580119470652722	0.473	0.585	4.33695580340529e-23	"5"
"FCRL1"	"FCRL1"	1.57634413668108e-27	0.390852552382233	0.149	0.081	4.46042336915279e-23	"5"
"CALM2.2"	"CALM2"	2.03294149608894e-27	-0.388055761529978	0.574	0.676	5.75241125733326e-23	"5"
"SNX2"	"SNX2"	2.03389352679188e-27	0.422731230331287	0.357	0.267	5.75510512341031e-23	"5"
"RILPL2.1"	"RILPL2"	1.0353450847485e-26	-0.374292004212624	0.106	0.208	2.92961245180435e-22	"5"
"AIM1"	"AIM1"	1.14413034648062e-26	-0.384378877489493	0.073	0.165	3.23743122840155e-22	"5"
"GSTK1.1"	"GSTK1"	1.19110376986659e-26	-0.388689050513926	0.215	0.336	3.37034722721451e-22	"5"
"GRN.1"	"GRN"	1.46045268472767e-26	-0.398461644339989	0.128	0.234	4.13249691670543e-22	"5"
"PSMB9.1"	"PSMB9"	1.93500945649703e-26	-0.369764152027151	0.334	0.468	5.47530275810399e-22	"5"
"SELL"	"SELL"	2.08897776739419e-26	0.459202045161739	0.492	0.398	5.9109714906186e-22	"5"
"RGCC.3"	"RGCC"	2.67247604287853e-26	-0.57304690158036	0.083	0.174	7.56203821092909e-22	"5"
"LPIN1.1"	"LPIN1"	4.77211538490613e-26	-0.380738586983678	0.127	0.23	1.35031776931304e-21	"5"
"RP11-693J15.5"	"RP11-693J15.5"	2.03413247142887e-25	0.437129624712374	0.277	0.193	5.75578124115512e-21	"5"
"FOSB.1"	"FOSB"	2.37477719224781e-25	-0.452797165496271	0.291	0.409	6.71966954318441e-21	"5"
"TYMP.1"	"TYMP"	2.94771316848642e-25	-0.367654379256617	0.15	0.258	8.34084918154917e-21	"5"
"RPL36AL"	"RPL36AL"	4.55282356005388e-25	-0.276145699785669	0.716	0.79	1.28826695455285e-20	"5"
"ANXA2.1"	"ANXA2"	5.88578223477728e-25	-0.362064534073518	0.114	0.215	1.66544094115258e-20	"5"
"PRDM1"	"PRDM1"	8.0778951862951e-25	-0.349122001377508	0.037	0.11	2.28572122191406e-20	"5"
"BCL2A1.2"	"BCL2A1"	8.11627483499024e-25	-0.35723253566733	0.16	0.271	2.29658112730884e-20	"5"
"HOPX.5"	"HOPX"	9.05291969911433e-25	-0.616776991487727	0.067	0.15	2.56161415806139e-20	"5"
"VAV3"	"VAV3"	9.96386483301085e-25	0.315669785844783	0.112	0.056	2.81937519314875e-20	"5"
"EMP3.2"	"EMP3"	1.87732282486188e-24	-0.37455651575874	0.239	0.361	5.31207266522916e-20	"5"
"HNRNPA1"	"HNRNPA1"	3.73870722618454e-24	0.266319237108023	0.805	0.769	1.05790459672118e-19	"5"
"CD44.1"	"CD44"	9.23490448790891e-24	-0.349555566781291	0.38	0.501	2.6131085738987e-19	"5"
"AFF3"	"AFF3"	1.19696452687156e-23	0.3605630666236	0.168	0.1	3.38693082523578e-19	"5"
"ADGRE5.1"	"ADGRE5"	1.52600252099328e-23	-0.382733104868435	0.123	0.22	4.31797673340259e-19	"5"
"PLAC8"	"PLAC8"	2.61909446841172e-23	0.366509844252606	0.374	0.286	7.41098970781779e-19	"5"
"CAPN2"	"CAPN2"	2.64585018250801e-23	-0.27261157366104	0.032	0.1	7.48669767642466e-19	"5"
"UBE2N.3"	"UBE2N"	4.01661524742265e-23	-0.361396825102294	0.224	0.339	1.13654145041071e-18	"5"
"CD83.4"	"CD83"	7.36845939959434e-23	0.299863692672508	0.607	0.522	2.08497927170921e-18	"5"
"DNAJB9"	"DNAJB9"	1.04876852740757e-22	0.38728764086704	0.195	0.125	2.96759542515247e-18	"5"
"JUNB.4"	"JUNB"	1.38999214293682e-22	0.340517929539346	0.792	0.734	3.93312176765403e-18	"5"
"FAM102A"	"FAM102A"	1.40295949423874e-22	-0.289107066159017	0.053	0.129	3.96981418489794e-18	"5"
"ZBTB38"	"ZBTB38"	1.44386286291428e-22	-0.313216316234964	0.043	0.114	4.08555435690223e-18	"5"
"IGHA1"	"IGHA1"	2.26911124320175e-22	-0.370280446523307	0.54	0.646	6.42067717376366e-18	"5"
"MDM4"	"MDM4"	3.22071944897691e-22	0.396002380760724	0.329	0.246	9.11334775282507e-18	"5"
"RP11-138A9.2"	"RP11-138A9.2"	3.30512935231526e-22	-0.415098044534086	0.106	0.196	9.35219401531127e-18	"5"
"BLOC1S2"	"BLOC1S2"	3.40763511395101e-22	0.372686473226882	0.236	0.16	9.64224431843578e-18	"5"
"NEIL1"	"NEIL1"	4.69984169697402e-22	0.28702503823348	0.109	0.056	1.32986720657577e-17	"5"
"HNRNPK"	"HNRNPK"	5.1586973349519e-22	0.33617949920969	0.55	0.479	1.45970499789799e-17	"5"
"GMFG.1"	"GMFG"	6.12277600718984e-22	0.36881492858389	0.452	0.372	1.73250069899444e-17	"5"
"ATP6V0E1.1"	"ATP6V0E1"	7.97499863838045e-22	-0.304116826862783	0.443	0.56	2.25660561471613e-17	"5"
"NT5C3A"	"NT5C3A"	2.25857321712263e-21	0.329982189091275	0.22	0.147	6.39085877517019e-17	"5"
"STX7"	"STX7"	2.69855140797458e-21	0.365038300650266	0.329	0.248	7.63582106400486e-17	"5"
"TCF4.2"	"TCF4"	3.50840809795124e-21	-0.361361073532675	0.199	0.304	9.92739155396281e-17	"5"
"MNDA"	"MNDA"	6.34967896154887e-21	-0.285555871023155	0.048	0.117	1.79670515895987e-16	"5"
"CD24.1"	"CD24"	1.04783436106381e-20	-0.356979834110577	0.261	0.371	2.96495210806615e-16	"5"
"S100A11.2"	"S100A11"	1.65350179618627e-20	-0.370247109572028	0.187	0.289	4.67874868248867e-16	"5"
"CCL5"	"CCL5"	2.79813545185149e-20	-0.378626430658971	0.054	0.124	7.91760407455898e-16	"5"
"LDLRAD4.2"	"LDLRAD4"	3.5808129499789e-20	-0.386389768251463	0.098	0.178	1.01322683232603e-15	"5"
"TXN"	"TXN"	1.20710652366383e-19	-0.311778421287684	0.112	0.197	3.41562861935918e-15	"5"
"HIGD2A"	"HIGD2A"	1.32810794726478e-19	-0.314486721653289	0.296	0.409	3.75801424758043e-15	"5"
"RAB11FIP1.1"	"RAB11FIP1"	1.43705570686725e-19	-0.361572303810915	0.12	0.205	4.06629282815156e-15	"5"
"NABP1"	"NABP1"	1.54476568934761e-19	-0.301036006126842	0.058	0.127	4.371068994578e-15	"5"
"MRPL41"	"MRPL41"	1.56233980009323e-19	-0.287524897201257	0.079	0.156	4.42079669834379e-15	"5"
"PIP4K2A"	"PIP4K2A"	2.13000463202463e-19	-0.308362291773479	0.123	0.21	6.0270611067769e-15	"5"
"CD86.1"	"CD86"	2.89403874144531e-19	-0.294272721158956	0.048	0.113	8.18897202279365e-15	"5"
"ADK"	"ADK"	3.37653718721942e-19	0.378392049511299	0.16	0.1	9.55424962495607e-15	"5"
"PPP1R15A.1"	"PPP1R15A"	4.16200047529575e-19	-0.299160030818051	0.38	0.493	1.17767965448968e-14	"5"
"MARCKSL1.2"	"MARCKSL1"	4.72525479554054e-19	0.303045335648528	0.337	0.258	1.33705809694615e-14	"5"
"LMO4"	"LMO4"	4.8536166452839e-19	-0.290433669455483	0.042	0.104	1.37337936594953e-14	"5"
"YWHAH"	"YWHAH"	7.38221310841636e-19	-0.280112838167756	0.063	0.133	2.08887102115749e-14	"5"
"RP11-138A9.1.1"	"RP11-138A9.1"	9.67282996510638e-19	-0.314658236624197	0.112	0.195	2.7370239669265e-14	"5"
"HIST1H1C"	"HIST1H1C"	1.10747132877392e-18	0.340062848047047	0.124	0.072	3.13370087189868e-14	"5"
"PYCARD.1"	"PYCARD"	1.17848059056455e-18	-0.297705731962997	0.108	0.189	3.33462867906144e-14	"5"
"HLA-DQA2.2"	"HLA-DQA2"	1.47824445010162e-18	0.362911066802106	0.382	0.303	4.18284049600753e-14	"5"
"HLA-DOA"	"HLA-DOA"	2.00269903555463e-18	0.347045132651972	0.175	0.114	5.66683719100538e-14	"5"
"NCF4"	"NCF4"	2.01872607130115e-18	-0.262323638065897	0.095	0.174	5.71218729135374e-14	"5"
"C11orf31"	"C11orf31"	2.40928434679891e-18	0.355413577789606	0.421	0.353	6.8173109877022e-14	"5"
"ZBTB20"	"ZBTB20"	5.0450316701759e-18	-0.265715084525393	0.113	0.195	1.42754216139297e-13	"5"
"VASP.1"	"VASP"	5.47535141959463e-18	-0.280589469637701	0.195	0.291	1.5493054376885e-13	"5"
"ANXA7.1"	"ANXA7"	5.85036178578558e-18	-0.257254271624796	0.101	0.179	1.65541837090589e-13	"5"
"MEF2C.2"	"MEF2C"	6.11002596960151e-18	0.355218601561758	0.493	0.429	1.72889294835844e-13	"5"
"ABI3"	"ABI3"	7.69489562874286e-18	-0.252209902165379	0.047	0.109	2.17734766710908e-13	"5"
"ACP5.1"	"ACP5"	7.90629226103167e-18	-0.294857085440533	0.128	0.211	2.23716445818152e-13	"5"
"CDV3"	"CDV3"	9.1125736542023e-18	-0.292104738978934	0.095	0.17	2.57849384119308e-13	"5"
"FAM173A"	"FAM173A"	1.12734102896865e-17	-0.258063705450021	0.062	0.128	3.1899241755697e-13	"5"
"FKBP1A"	"FKBP1A"	1.36261078482522e-17	0.328934276366485	0.261	0.192	3.85564347674145e-13	"5"
"EBLN3"	"EBLN3"	2.41890523749808e-17	0.333352785723979	0.241	0.174	6.84453426002457e-13	"5"
"SND1"	"SND1"	2.5658576946451e-17	-0.270871491655041	0.063	0.128	7.26035093276776e-13	"5"
"LY96.1"	"LY96"	4.15084625700795e-17	-0.265908811581574	0.068	0.135	1.17452345688297e-12	"5"
"ANKRD13A"	"ANKRD13A"	6.02286436544567e-17	-0.251837963082622	0.094	0.168	1.70422970084651e-12	"5"
"MYO1F.1"	"MYO1F"	7.34559100417756e-17	-0.27748485455432	0.046	0.105	2.07850843054208e-12	"5"
"IDS"	"IDS"	9.54578741344914e-17	-0.287386410238883	0.238	0.335	2.70107600650957e-12	"5"
"ATP2B1.1"	"ATP2B1"	1.20617729620451e-16	-0.34477053999988	0.231	0.325	3.41299927734028e-12	"5"
"ZFP36.3"	"ZFP36"	2.59717139658827e-16	-0.40771178461247	0.425	0.514	7.34895618378617e-12	"5"
"CMTM6.2"	"CMTM6"	2.69480693737385e-16	-0.300811094549865	0.256	0.354	7.62522570999303e-12	"5"
"NCR3.1"	"NCR3"	3.00451634267122e-16	-0.265166292360584	0.083	0.152	8.50157944322248e-12	"5"
"LYST"	"LYST"	3.63493013380582e-16	0.319919029437463	0.179	0.121	1.02853983066169e-11	"5"
"SOCS3.1"	"SOCS3"	3.64053725678659e-16	-0.282530424334968	0.082	0.15	1.03012642218033e-11	"5"
"GSTP1"	"GSTP1"	4.50351100046385e-16	0.290995758665577	0.342	0.269	1.27431347269125e-11	"5"
"HLA-F"	"HLA-F"	4.69043702725631e-16	-0.264763442378112	0.253	0.354	1.32720606123245e-11	"5"
"AES"	"AES"	8.87575302870883e-16	0.393654906465683	0.225	0.166	2.51148307700345e-11	"5"
"SIT1"	"SIT1"	1.2441618356678e-15	-0.279696172817908	0.084	0.151	3.52048033020561e-11	"5"
"BTK"	"BTK"	1.422322481935e-15	0.298941028009165	0.22	0.158	4.02460369488327e-11	"5"
"HN1.1"	"HN1"	1.44852562447873e-15	-0.253997094029977	0.09	0.159	4.09874810702502e-11	"5"
"PLEKHA2"	"PLEKHA2"	1.58501152582061e-15	0.299313561593115	0.134	0.084	4.484948613462e-11	"5"
"PTGES3"	"PTGES3"	1.83765359596513e-15	-0.255003537930195	0.268	0.367	5.19982461514292e-11	"5"
"LTA4H"	"LTA4H"	2.11346046333753e-15	0.323443928036504	0.206	0.146	5.98024772705986e-11	"5"
"P2RX5.1"	"P2RX5"	6.89108671849178e-15	0.284357315552435	0.192	0.133	1.94990189786443e-10	"5"
"ARL4A"	"ARL4A"	7.91313466219485e-15	0.372641238413439	0.245	0.183	2.23910058401466e-10	"5"
"RASGRP2"	"RASGRP2"	1.17314505336213e-14	0.337214504259363	0.224	0.165	3.31953124299349e-10	"5"
"CCR7.3"	"CCR7"	1.18299602748392e-14	0.330419544215668	0.352	0.287	3.34740555936851e-10	"5"
"ISCU"	"ISCU"	1.95217551095277e-14	-0.262047881452008	0.286	0.385	5.52387582579196e-10	"5"
"XIST"	"XIST"	8.61834310446223e-14	-0.332925617408283	0.153	0.227	2.43864636483863e-09	"5"
"TRABD.1"	"TRABD"	9.24935165446332e-14	-0.27231674402747	0.133	0.204	2.61719654414694e-09	"5"
"HLA-DRB5.1"	"HLA-DRB5"	1.07160095367127e-13	0.274360907908828	0.522	0.453	3.03220205850822e-09	"5"
"HHEX"	"HHEX"	1.37593188757546e-13	0.281800889631656	0.146	0.097	3.89333686908353e-09	"5"
"LIMD2.1"	"LIMD2"	1.41347013889069e-13	0.252725524696448	0.563	0.512	3.9995551050051e-09	"5"
"LMNA.1"	"LMNA"	1.80122494280236e-13	-0.303708266099301	0.056	0.109	5.09674609815356e-09	"5"
"TPD52"	"TPD52"	4.61504306995858e-13	0.272274498796314	0.28	0.222	1.30587258707548e-08	"5"
"GYPC"	"GYPC"	5.48639761542571e-13	0.292191169386825	0.311	0.253	1.55243106926086e-08	"5"
"BASP1.2"	"BASP1"	5.65177818187282e-13	-0.264901074731176	0.19	0.266	1.59922715434273e-08	"5"
"C15orf57"	"C15orf57"	9.92429374399944e-13	0.306732961055051	0.166	0.118	2.80817815780208e-08	"5"
"PTPRC"	"PTPRC"	1.48006810403168e-12	0.253801112051711	0.585	0.539	4.18800070716804e-08	"5"
"SLC38A1.1"	"SLC38A1"	2.09936332143051e-12	0.316388302479218	0.242	0.188	5.94035845431977e-08	"5"
"EVL"	"EVL"	3.00947144133609e-12	0.259913687856464	0.438	0.383	8.5156003904046e-08	"5"
"PDE4B"	"PDE4B"	6.24879918292418e-12	0.279350040331676	0.308	0.251	1.76816021680023e-07	"5"
"BCL11A"	"BCL11A"	7.35744755856145e-12	0.313051330523241	0.262	0.208	2.08186336117055e-07	"5"
"CENPM"	"CENPM"	1.3462141975302e-11	0.347772932306769	0.142	0.097	3.80924769333146e-07	"5"
"CYB561A3"	"CYB561A3"	1.63066095540493e-11	0.283961170974431	0.219	0.167	4.6141182394138e-07	"5"
"WHSC1L1"	"WHSC1L1"	2.53418192027784e-11	0.303327961650498	0.302	0.252	7.17072116161817e-07	"5"
"HSPA1B"	"HSPA1B"	2.55344279310191e-11	-0.349023382962187	0.105	0.161	7.22522172736118e-07	"5"
"RERE"	"RERE"	3.18505456670982e-11	0.264119596293429	0.118	0.079	9.01243040196211e-07	"5"
"LSM7"	"LSM7"	4.02455362231534e-11	0.286612592229202	0.448	0.409	1.13878769297035e-06	"5"
"POMP.3"	"POMP"	1.48136482868769e-10	0.292430115822438	0.303	0.253	4.19166991925469e-06	"5"
"HLA-DOB"	"HLA-DOB"	3.09211646653413e-10	0.31126581901204	0.294	0.245	8.74945275370496e-06	"5"
"GADD45B.3"	"GADD45B"	3.46379522018012e-10	0.374599710528347	0.244	0.194	9.80115495502168e-06	"5"
"TAF1D"	"TAF1D"	3.82382114848285e-10	0.269836264867125	0.456	0.41	1.08198843217471e-05	"5"
"UCP2"	"UCP2"	6.11773165305645e-10	0.250125085623611	0.353	0.304	1.73107334854885e-05	"5"
"SP140L"	"SP140L"	6.34346379653582e-10	0.256358930393286	0.187	0.142	1.79494651586778e-05	"5"
"MTRNR2L12.1"	"MTRNR2L12"	1.40739085788024e-09	-0.2817175339654	0.589	0.653	3.98235317145792e-05	"5"
"FCMR"	"FCMR"	1.9311925392232e-09	0.292375937979489	0.359	0.312	5.46450240898597e-05	"5"
"NFKBIA.1"	"NFKBIA"	1.30417019031246e-08	-0.296301059902943	0.425	0.49	0.000369027997050813	"5"
