"gene"	"p_val"	"avg_log2FC"	"pct.1"	"pct.2"	"p_val_adj"	"cluster"
"FCRL5"	"FCRL5"	6.19546835348501e-23	-0.292532457109604	0.056	0.104	1.75306972530212e-18	"0"
"CLEC2D"	"CLEC2D"	7.94398644895185e-23	-0.311891833550419	0.174	0.243	2.24783040559542e-18	"0"
"CRIP1"	"CRIP1"	2.15207510909853e-22	0.268188130657047	0.198	0.142	6.08951172870519e-18	"0"
"MYC"	"MYC"	3.41659345049952e-22	-0.444221371235805	0.107	0.164	9.66759282753344e-18	"0"
"MAP3K8"	"MAP3K8"	1.94202200546732e-21	-0.252407595459095	0.124	0.185	5.49514546667034e-17	"0"
"HOPX"	"HOPX"	2.73988374480004e-21	0.2746338352199	0.183	0.128	7.75277504428619e-17	"0"
"YPEL5"	"YPEL5"	2.83733977327593e-21	-0.281495092583874	0.38	0.448	8.02853662246158e-17	"0"
"SAT1"	"SAT1"	5.44472615008259e-21	-0.290646930708523	0.673	0.709	1.54063971142737e-16	"0"
"GMFG"	"GMFG"	2.99940089766665e-20	-0.260885971855035	0.328	0.396	8.48710478003755e-16	"0"
"SGK1"	"SGK1"	7.49660942772696e-20	-0.269563872000638	0.068	0.115	2.12124060366962e-15	"0"
"SRGN"	"SRGN"	4.58910421867099e-19	-0.299853855365664	0.58	0.616	1.29853292971514e-14	"0"
"POMP"	"POMP"	1.08960133201185e-18	-0.256494097307056	0.21	0.274	3.08313592906074e-14	"0"
"TNFAIP3"	"TNFAIP3"	1.35668306838368e-18	-0.291070586795155	0.059	0.101	3.83887041029846e-14	"0"
"CD22"	"CD22"	4.64077111739591e-18	-0.311160155121715	0.206	0.267	1.31315259537835e-13	"0"
"HERPUD1"	"HERPUD1"	2.61911437087869e-17	-0.310671636522072	0.572	0.607	7.41104602383834e-13	"0"
"IL32"	"IL32"	2.78799080409883e-17	-0.331636808513212	0.063	0.104	7.88889877927805e-13	"0"
"NR4A1"	"NR4A1"	7.75806481883936e-16	-0.302408059249441	0.18	0.234	2.19522202113879e-11	"0"
"PMAIP1"	"PMAIP1"	3.76719440242938e-15	-0.268228072904941	0.237	0.295	1.06596532811142e-10	"0"
"ANXA1"	"ANXA1"	6.50012621236624e-15	-0.291665193495611	0.07	0.108	1.83927571305115e-10	"0"
"NFKBID"	"NFKBID"	2.55107148158749e-14	-0.251531845933862	0.159	0.209	7.21851186429996e-10	"0"
"ALOX5AP"	"ALOX5AP"	4.13026204028021e-14	-0.251156026820012	0.255	0.313	1.16869894691769e-09	"0"
"AREG"	"AREG"	1.97295757641646e-13	-0.266454915717005	0.189	0.24	5.58268075822801e-09	"0"
"LY9"	"LY9"	6.21167001392232e-13	-0.264024375883655	0.306	0.357	1.75765414713946e-08	"0"
"GADD45B"	"GADD45B"	8.7820087752275e-10	-0.263130642496695	0.17	0.208	2.48495720303837e-05	"0"
"ISG15"	"ISG15"	2.13948159904773e-08	-0.257457700379908	0.123	0.155	0.000605387713266547	"0"
"ACTB"	"ACTB"	7.46414774953778e-51	-0.366444102088563	0.96	0.97	2.11205524720921e-46	"1"
"HOPX.1"	"HOPX"	3.4991648657732e-47	-0.672966079359352	0.054	0.156	9.90123690419184e-43	"1"
"CD69.1"	"CD69"	4.01211967791943e-45	0.374675688032251	0.822	0.732	1.13526938406408e-40	"1"
"DUSP1"	"DUSP1"	3.78047059047317e-42	0.334874932461451	0.853	0.803	1.06972195828029e-37	"1"
"TCL1A.1"	"TCL1A"	1.16587612448278e-39	-0.780990319233364	0.029	0.108	3.29896308183647e-35	"1"
"CXCR4"	"CXCR4"	8.54817207356964e-39	0.252106884718538	0.974	0.938	2.41879076993726e-34	"1"
"TMSB10"	"TMSB10"	1.76874225730959e-37	-0.258913015491612	0.932	0.951	5.00483309128321e-33	"1"
"HLA-DQA2"	"HLA-DQA2"	4.93675918792206e-37	-0.434099069145283	0.211	0.329	1.39690537981443e-32	"1"
"AC079767.4.1"	"AC079767.4"	1.43899336083695e-34	0.409193422187394	0.282	0.186	4.07177561382423e-30	"1"
"ITM2C"	"ITM2C"	2.87148128183838e-33	0.366789271570329	0.176	0.101	8.12514343508989e-29	"1"
"TRAC"	"TRAC"	4.79020133658956e-33	-0.480020203100771	0.117	0.214	1.35543537020138e-28	"1"
"ITGB1.1"	"ITGB1"	1.43797907259813e-28	-0.448059172458879	0.178	0.273	4.06890558382367e-24	"1"
"IGHM.1"	"IGHM"	4.48283205735517e-26	0.409489145383559	0.502	0.408	1.26846215894922e-21	"1"
"S100A11"	"S100A11"	5.91648340089671e-26	-0.36316984323654	0.197	0.292	1.67412814311773e-21	"1"
"VPREB3"	"VPREB3"	4.34301812293858e-25	0.250769279725824	0.627	0.534	1.2289004080667e-20	"1"
"RIC3"	"RIC3"	3.26085006224966e-24	0.307520598226426	0.261	0.182	9.22690133614164e-20	"1"
"PFN1"	"PFN1"	8.98257870113317e-24	-0.279920184146297	0.754	0.792	2.54171046927264e-19	"1"
"TSPO"	"TSPO"	5.5659338501247e-23	-0.261821842890218	0.146	0.232	1.57493664223129e-18	"1"
"ACTG1"	"ACTG1"	8.88358171162845e-23	-0.30652416078164	0.818	0.834	2.51369828112239e-18	"1"
"S100A10"	"S100A10"	4.00351664815752e-21	-0.332583735271669	0.242	0.329	1.13283507076265e-16	"1"
"DUSP4"	"DUSP4"	6.12860595048007e-20	-0.308337440802455	0.058	0.116	1.73415033974784e-15	"1"
"JCHAIN"	"JCHAIN"	7.80094398744945e-20	0.322323807226158	0.406	0.328	2.2073551106887e-15	"1"
"JUN"	"JUN"	1.27385655670582e-19	0.34843122411388	0.625	0.558	3.6045045128548e-15	"1"
"UBE2N.1"	"UBE2N"	9.89673608968377e-17	-0.263613546100478	0.26	0.338	2.80038044393692e-12	"1"
"ANXA1.1"	"ANXA1"	2.700747163829e-16	-0.306948231675223	0.057	0.107	7.64203417477055e-12	"1"
"RGCC"	"RGCC"	2.84491963360288e-16	-0.326236053003191	0.111	0.174	8.0499845952427e-12	"1"
"CD99.1"	"CD99"	3.26528267332948e-16	-0.2514354999425	0.292	0.369	9.23944385245309e-12	"1"
"HCST"	"HCST"	4.44280141232548e-16	-0.303880949489224	0.143	0.207	1.25713508763162e-11	"1"
"KLF2"	"KLF2"	1.21364905175642e-14	0.477971629687823	0.46	0.407	3.43414135684997e-10	"1"
"LY9.1"	"LY9"	1.74077018433389e-14	0.260327362237037	0.401	0.335	4.92568331359116e-10	"1"
"DBI"	"DBI"	8.99003930156836e-14	-0.275374226990556	0.238	0.304	2.54382152077178e-09	"1"
"PMAIP1.1"	"PMAIP1"	6.36765914766142e-13	0.291857928984957	0.333	0.272	1.80179283242227e-08	"1"
"S100A4"	"S100A4"	6.09002902323589e-12	-0.275351817812184	0.405	0.464	1.72323461241483e-07	"1"
"MEF2C"	"MEF2C"	9.71957019991856e-12	-0.271591110655398	0.388	0.444	2.75024958376896e-07	"1"
"JUNB.1"	"JUNB"	1.68847571801718e-10	0.252559209001016	0.759	0.737	4.7777108917014e-06	"1"
"SUB1"	"SUB1"	1.85144567429475e-10	-0.252920514531767	0.425	0.479	5.23885067998442e-06	"1"
"CCL4.1"	"CCL4"	4.48899473923427e-10	-0.282422671826371	0.147	0.195	1.27020595141373e-05	"1"
"HLA-DRB1"	"HLA-DRB1"	2.60492227488698e-106	-0.567596784695958	0.811	0.926	7.37088806902021e-102	"2"
"ACTB.1"	"ACTB"	1.17744048489288e-105	-0.49209540419547	0.919	0.976	3.33168559605289e-101	"2"
"MALAT1"	"MALAT1"	7.67676329669627e-105	0.381454764785499	0.995	0.995	2.17221694243318e-100	"2"
"HLA-DQA1"	"HLA-DQA1"	1.7304051499737e-88	-0.528275836030389	0.587	0.796	4.89635441236558e-84	"2"
"CD83.1"	"CD83"	1.98558426049944e-78	-0.592172473652942	0.342	0.561	5.61840922350922e-74	"2"
"HLA-DQB1"	"HLA-DQB1"	2.69370125398589e-76	-0.454418997982736	0.705	0.878	7.62209706827848e-72	"2"
"ARPC1B"	"ARPC1B"	4.59610445904073e-74	-0.502145736171955	0.357	0.574	1.30051371773016e-69	"2"
"HLA-DRA"	"HLA-DRA"	1.07192750530888e-70	-0.297963136711855	0.969	0.994	3.03312606902201e-66	"2"
"HLA-DPA1"	"HLA-DPA1"	1.56009090489912e-70	-0.373989586595068	0.833	0.951	4.41443322450255e-66	"2"
"HLA-DPB1"	"HLA-DPB1"	7.77995829322988e-66	-0.363050699781684	0.848	0.95	2.20141699865233e-61	"2"
"PFN1.1"	"PFN1"	1.59533139354971e-63	-0.424213115894181	0.633	0.81	4.51414971118825e-59	"2"
"CD69.2"	"CD69"	7.48616903043888e-62	-0.458025230713912	0.597	0.768	2.11828638885298e-57	"2"
"RGS1.1"	"RGS1"	6.9173601902213e-59	-0.682263002728625	0.423	0.596	1.95733623942502e-54	"2"
