"gene"	"p_val"	"avg_log2FC"	"pct.1"	"pct.2"	"p_val_adj"	"cluster"
"CTD-3252C9.4"	5.63623497566316e-17	-0.722870450747836	0.023	0.207	1.59482904871365e-12	"12"
"TAF7"	5.69996902650407e-17	-0.392528167263922	0.127	0.383	1.61286323573959e-12	"12"
"RPLP2"	6.58548912514639e-17	0.332559596287576	0.997	0.997	1.86343000285142e-12	"12"
"NKTR"	6.71778166143869e-17	-0.542196836062141	0.054	0.264	1.90086349892069e-12	"12"
"FAU"	6.86274277211849e-17	0.419616066601532	0.966	0.979	1.94188169479865e-12	"12"
"ELF1"	7.55753968080751e-17	-0.314973248031943	0.147	0.419	2.13848142808129e-12	"12"
"TMEM243"	9.16346432819657e-17	-0.278027473070757	0.138	0.406	2.5928938663065e-12	"12"
"RPS5"	1.02523897016664e-16	0.405060129455417	0.941	0.965	2.90101618998354e-12	"12"
"RPS2"	1.09840257220004e-16	0.35633125211286	0.997	0.994	3.10803991829722e-12	"12"
"MYCBP2"	1.10033677486998e-16	-0.38260887075965	0.085	0.316	3.11351293817209e-12	"12"
"HLA-DQA1"	1.13030304483483e-16	-0.373114624446381	0.41	0.772	3.19830549566465e-12	"12"
"EMP3"	1.22178474264689e-16	-0.445023051414658	0.119	0.364	3.45716210779365e-12	"12"
"JMJD1C"	1.2488171803995e-16	-0.447774221164779	0.071	0.287	3.53365309365841e-12	"12"
"IRF8"	1.55112484467918e-16	-0.284239149883653	0.189	0.48	4.38906286050419e-12	"12"
"CCR7"	1.65738967923437e-16	-0.622473798746516	0.073	0.289	4.68974983636157e-12	"12"
"RPS11"	1.74600036457025e-16	0.496148694374857	0.918	0.962	4.94048263158798e-12	"12"
"PRKCB"	2.09594076948495e-16	-0.452572424625059	0.073	0.29	5.93067400133461e-12	"12"
"TUBA1A"	2.22425584340311e-16	-0.591090003208163	0.051	0.252	6.29375433449343e-12	"12"
"DDX6"	2.30033667874873e-16	-0.482800486569191	0.062	0.271	6.50903266618741e-12	"12"
"SF3B1"	3.12491775291351e-16	-0.489101364960067	0.076	0.292	8.84226727364406e-12	"12"
"EIF5"	4.2813426927047e-16	-0.392344601311394	0.102	0.336	1.21144872832772e-11	"12"
"RALGPS2"	4.59259645341282e-16	-0.596203386466978	0.073	0.282	1.29952109245769e-11	"12"
"RPS16"	4.96341064502027e-16	0.40218115635002	0.963	0.979	1.40444667611494e-11	"12"
"RPL6"	5.19886283088522e-16	0.440502849612737	0.929	0.967	1.47107022662728e-11	"12"
"FAM65B"	5.50063787371853e-16	-0.347930579956201	0.096	0.325	1.55646049274739e-11	"12"
"TYMP"	5.70789590623888e-16	-0.531780705185386	0.059	0.262	1.61510622562935e-11	"12"
"OFD1"	5.78448739312835e-16	-0.583211567531844	0.065	0.27	1.6367785527596e-11	"12"
